geoid,geoid20,year,denom_total_pop,severe_collision_count,pedestrian_collision_count,bicycle_collision_count,pedestrian_collision_rate,bicycle_collision_rate,severe_collision_rate
1400000US06037124600,6037124600,2022,2608,7,1,0,38.343559,0,268.40491
1400000US06037124700,6037124700,2022,5409,6,0,0,0,0,110.92623
1400000US06037124902,6037124902,2022,3301,1,1,0,30.29385,0,30.29385
1400000US06037125101,6037125101,2022,3978,4,0,1,0,25.13826,100.55304
1400000US06037125102,6037125102,2022,1948,1,1,0,51.334702,0,51.334702
1400000US06037125200,6037125200,2022,3889,14,2,2,51.427101,51.427101,359.98972
1400000US06037125310,6037125310,2022,3598,10,2,2,55.586437,55.586437,277.93219
1400000US06037125321,6037125321,2022,2761,1,1,0,36.218761,0,36.218761
1400000US06037125322,6037125322,2022,1981,6,1,2,50.479557,100.95911,302.87735
1400000US06037125404,6037125404,2022,2886,4,2,0,69.300072,0,138.60014
1400000US06037125501,6037125501,2022,2871,1,1,0,34.83107,0,34.83107
1400000US06037125502,6037125502,2022,3624,2,0,0,0,0,55.187637
1400000US06037127102,6037127102,2022,4956,6,0,1,0,20.177563,121.06538
1400000US06037127103,6037127103,2022,3360,4,0,0,0,0,119.04762
1400000US06037127104,6037127104,2022,4385,3,1,0,22.805017,0,68.415054
1400000US06037127210,6037127210,2022,5630,8,1,0,17.76199,0,142.09592
1400000US06037127220,6037127220,2022,5219,8,3,2,57.482277,38.321518,153.28607
1400000US06037127300,6037127300,2022,3942,3,0,0,0,0,76.1035
1400000US06037127400,6037127400,2022,5855,17,1,0,17.07942,0,290.35013
1400000US06037127520,6037127520,2022,4722,3,0,0,0,0,63.532402
1400000US06037127603,6037127603,2022,2791,6,1,1,35.829453,35.829453,214.97672
1400000US06037127604,6037127604,2022,3141,1,1,0,31.836994,0,31.836994
1400000US06037127605,6037127605,2022,3734,2,0,0,0,0,53.561863
1400000US06037127606,6037127606,2022,3110,4,1,0,32.154343,0,128.61737
1400000US06037127711,6037127711,2022,3207,5,0,0,0,0,155.90895
1400000US06037127712,6037127712,2022,3859,1,0,0,0,0,25.913448
1400000US06037127803,6037127803,2022,5068,8,2,0,39.463299,0,157.8532
1400000US06037127804,6037127804,2022,4728,4,2,0,42.301186,0,84.602371
1400000US06037127805,6037127805,2022,3518,2,0,0,0,0,56.850483
1400000US06037127806,6037127806,2022,3576,4,0,0,0,0,111.85683
1400000US06037127910,6037127910,2022,4908,6,3,0,61.124695,0,122.24939
1400000US06037127920,6037127920,2022,4622,4,0,0,0,0,86.542625
1400000US06037128101,6037128101,2022,2890,6,1,0,34.602077,0,207.61246
1400000US06037128102,6037128102,2022,4750,2,0,0,0,0,42.105263
1400000US06037128210,6037128210,2022,5357,5,2,0,37.334328,0,93.335823
1400000US06037128220,6037128220,2022,2832,3,0,0,0,0,105.93221
1400000US06037128302,6037128302,2022,4790,5,3,0,62.630482,0,104.38413
1400000US06037128303,6037128303,2022,3487,4,0,2,0,57.355892,114.71178
1400000US06037128400,6037128400,2022,4241,8,2,0,47.158688,0,188.63475
1400000US06037128500,6037128500,2022,4104,2,1,0,24.366472,0,48.732944
1400000US06037128601,6037128601,2022,5020,6,1,0,19.920319,0,119.52191
1400000US06037128602,6037128602,2022,2863,4,0,1,0,34.928398,139.71359
1400000US06037128703,6037128703,2022,3252,2,0,0,0,0,61.500614
1400000US06037128704,6037128704,2022,2335,3,0,0,0,0,128.47966
1400000US06037128801,6037128801,2022,3740,1,0,0,0,0,26.737968
1400000US06037128802,6037128802,2022,4186,4,0,0,0,0,95.556618
1400000US06037128910,6037128910,2022,4741,2,0,0,0,0,42.185192
1400000US06037131021,6037131021,2022,3423,1,0,0,0,0,29.21414
1400000US06037131023,6037131023,2022,2774,6,0,0,0,0,216.29416
1400000US06037131024,6037131024,2022,3984,7,4,0,100.4016,0,175.7028
1400000US06037131100,6037131100,2022,3340,10,1,0,29.940121,0,299.40118
1400000US06037131200,6037131200,2022,3796,2,1,1,26.343519,26.343519,52.687038
1400000US06037131300,6037131300,2022,4502,4,1,0,22.212351,0,88.849403
1400000US06037131400,6037131400,2022,6175,2,1,0,16.194332,0,32.388664
1400000US06037131600,6037131600,2022,5194,7,1,0,19.252985,0,134.77089
1400000US06037131701,6037131701,2022,5297,1,1,0,18.878611,0,18.878611
1400000US06037131702,6037131702,2022,3958,5,1,0,25.265285,0,126.32643
1400000US06037131801,6037131801,2022,3068,18,3,0,97.783569,0,586.70142
1400000US06037131802,6037131802,2022,2481,3,1,0,40.306328,0,120.91898
1400000US06037131900,6037131900,2022,4255,3,0,0,0,0,70.505287
1400000US06037132001,6037132001,2022,2947,6,0,0,0,0,203.59688
1400000US06037132002,6037132002,2022,3707,9,0,0,0,0,242.78392
1400000US06037132101,6037132101,2022,4319,1,0,0,0,0,23.153507
1400000US06037132102,6037132102,2022,5279,7,1,1,18.942982,18.942982,132.60088
1400000US06037132301,6037132301,2022,3689,5,0,0,0,0,135.53809
1400000US06037132302,6037132302,2022,3178,8,0,1,0,31.466331,251.73065
1400000US06037132501,6037132501,2022,4641,1,1,0,21.547081,0,21.547081
1400000US06037132502,6037132502,2022,3565,4,1,0,28.050491,0,112.20197
1400000US06037132700,6037132700,2022,4846,8,1,1,20.635576,20.635576,165.08461
1400000US06037132900,6037132900,2022,3559,7,1,1,28.09778,28.09778,196.68446
1400000US06037133000,6037133000,2022,4373,4,1,0,22.867596,0,91.470383
1400000US06037133101,6037133101,2022,1827,3,1,0,54.734539,0,164.20361
1400000US06037133102,6037133102,2022,3703,2,0,0,0,0,54.010262
1400000US06037134001,6037134001,2022,3715,6,0,0,0,0,161.5074
1400000US06037134002,6037134002,2022,3798,5,1,0,26.329647,0,131.64824
1400000US06037134101,6037134101,2022,5414,5,1,0,18.470633,0,92.353157
1400000US06037134103,6037134103,2022,4584,3,0,0,0,0,65.445023
1400000US06037134104,6037134104,2022,4419,1,0,0,0,0,22.629555
1400000US06037134201,6037134201,2022,4345,3,0,0,0,0,69.044876
1400000US06037134302,6037134302,2022,4287,4,0,0,0,0,93.305344
1400000US06037134303,6037134303,2022,5597,10,2,1,35.733429,17.866714,178.66714
1400000US06037134304,6037134304,2022,3045,1,0,0,0,0,32.840721
1400000US06037134306,6037134306,2022,3925,1,1,0,25.477707,0,25.477707
1400000US06037134424,6037134424,2022,2821,2,1,0,35.448421,0,70.896843
1400000US06037134520,6037134520,2022,5263,6,0,2,0,38.001141,114.00342
1400000US06037134521,6037134521,2022,2944,1,1,0,33.967392,0,33.967392
1400000US06037134522,6037134522,2022,4741,3,1,0,21.092596,0,63.27779
1400000US06037134710,6037134710,2022,5531,6,1,0,18.079914,0,108.47948
1400000US06037134720,6037134720,2022,5195,6,1,0,19.249279,0,115.49567
1400000US06037134801,6037134801,2022,3091,7,0,0,0,0,226.46393
1400000US06037134802,6037134802,2022,3121,6,0,0,0,0,192.24608
1400000US06037134901,6037134901,2022,2577,7,2,0,77.609627,0,271.6337
1400000US06037134904,6037134904,2022,4615,1,0,0,0,0,21.668472
1400000US06037134905,6037134905,2022,5590,11,0,0,0,0,196.77997
1400000US06037134906,6037134906,2022,3056,6,1,0,32.722511,0,196.33508
1400000US06037134907,6037134907,2022,3635,3,0,0,0,0,82.530952
1400000US06037135102,6037135102,2022,3652,10,1,0,27.382256,0,273.82257
1400000US06037135111,6037135111,2022,4001,7,3,0,74.981255,0,174.95627
1400000US06037135113,6037135113,2022,2951,3,1,0,33.886818,0,101.66045
1400000US06037135115,6037135115,2022,3212,2,0,0,0,0,62.266502
1400000US06037135116,6037135116,2022,1477,5,0,0,0,0,338.52405
1400000US06037135201,6037135201,2022,3104,1,0,0,0,0,32.216496
1400000US06037135202,6037135202,2022,4625,6,0,0,0,0,129.72974
1400000US06037135204,6037135204,2022,4481,2,0,0,0,0,44.632893
1400000US06037135205,6037135205,2022,2059,1,0,0,0,0,48.567265
1400000US06037137000,6037137000,2022,5035,4,0,0,0,0,79.443893
1400000US06037137103,6037137103,2022,5560,4,0,0,0,0,71.942444
1400000US06037137104,6037137104,2022,2416,4,1,0,41.390728,0,165.56291
1400000US06037137202,6037137202,2022,3339,5,0,0,0,0,149.74544
1400000US06037137203,6037137203,2022,2660,6,1,0,37.593987,0,225.5639
1400000US06037137301,6037137301,2022,2142,1,0,0,0,0,46.685341
1400000US06037137302,6037137302,2022,4376,2,1,0,22.851919,0,45.703838
1400000US06037137401,6037137401,2022,4567,9,1,0,21.896212,0,197.0659
1400000US06037137402,6037137402,2022,5663,4,0,0,0,0,70.633942
1400000US06037137502,6037137502,2022,4432,7,2,0,45.126354,0,157.94225
1400000US06037138000,6037138000,2022,4826,2,0,0,0,0,41.442188
1400000US06037139001,6037139001,2022,5511,8,2,0,36.291054,0,145.16422
1400000US06037139200,6037139200,2022,5946,11,1,0,16.818029,0,184.99832
1400000US06037139301,6037139301,2022,4243,8,0,0,0,0,188.54584
1400000US06037139302,6037139302,2022,5181,5,1,0,19.301292,0,96.50647
1400000US06037139303,6037139303,2022,4556,1,0,0,0,0,21.949078
1400000US06037139401,6037139401,2022,2405,7,0,0,0,0,291.0603
1400000US06037139402,6037139402,2022,2893,9,1,0,34.566193,0,311.09573
1400000US06037139502,6037139502,2022,3113,3,1,0,32.123352,0,96.370064
1400000US06037139504,6037139504,2022,3741,2,0,0,0,0,53.461639
1400000US06037139600,6037139600,2022,5134,6,1,0,19.477989,0,116.86794
1400000US06037139701,6037139701,2022,5388,9,1,0,18.559763,0,167.03786
